period,minute,second,duration,under_pressure,play_pattern.name,possession_team.name,player.name,position.name,shot.technique.name,shot.body_part.name,shot.outcome.name,shot.aerial_won,shot.one_on_one,shot.deflected,shot.open_goal,shot.saved_to_post,shot.saved_off_target,shot.redirect,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z,player.name.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,TimeInPoss,TimeToPossEnd
1,16,52,0.523131,TRUE,From Corner,Spain Women's,Aitana Bonmati Conca,Right Center Midfield,Normal,Head,Wayward,TRUE,NA,NA,NA,NA,NA,NA,108.2,34.7,112.4,43,NA,Gaëlle Thalmann,118.1,39.4,12.935609765295176,1.9924858845171334,65.81264648325937,72.47443162627714,6.661785143017767,17.78168429904952,10.959014554237976,2.046721395507176,0.31234752377721187,3,3,1,1,351.9999999999999,0.6082762530298154,3.201562118716427,38.95499999999993,1.725999999999999
1,16,53,0.939527,TRUE,From Corner,Spain Women's,Alba María Redondo Ferrer,Right Wing,Normal,Head,Goal,TRUE,NA,NA,NA,NA,NA,NA,111.4,44,120,37,0.8,Gaëlle Thalmann,118.7,41.6,9.484724561103496,2.06155281280883,114.9439052634246,140.9061411137706,25.96223585034599,11.802463389027974,7.684399781375247,1.0130607735343102,0,1,2,0,1,264.18000000000006,1.166190378969057,6.4280634719952765,39.74199999999996,0.9389999999999645
1,27,10,1.437497,NA,From Throw In,Spain Women's,Teresa Abelleira Dueñas,Center Defensive Midfield,Normal,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,90,41.3,120,40.5,3.7,Gaëlle Thalmann,119.2,40.8,30.028153456381563,1.131370849898472,92.48126480119588,135,42.51873519880412,20.877027758001795,29.20428050817209,0.7385986884323029,0.08775644526199301,4,7,1,1,60.750000000000064,2.3086792761230366,4.534313619501858,44.18100000000004,1.4370000000001255
1,31,32,0.519857,NA,Regular Play,Spain Women's,Aitana Bonmati Conca,Right Center Midfield,Normal,Left Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,104.3,36.9,114,41.4,NA,Gaëlle Thalmann,117.1,39.4,16.003124694883812,2.961418578992175,78.8304980769171,78.31063082456079,0.5198672523563062,20.569095649116285,13.04185569618066,1.2947502516315013,0.27637743776847246,5,8,2,1,52.36000000000006,3.4999999999999987,4.159326868617087,89.18100000000004,0.7429999999999382
1,32,18,0.926763,NA,From Corner,Spain Women's,Aitana Bonmati Conca,Right Center Midfield,Volley,Left Foot,Saved,NA,NA,NA,NA,NA,NA,NA,103.4,29.8,119.2,36.6,0.2,Gaëlle Thalmann,118.9,38.1,19.48332620473208,2.195449840010011,58.43102887068167,30.068582821862336,28.362446048819336,18.56047635846016,17.582377541163197,0.6750016060951955,0.3047431191308208,6,9,4,1,30.680000000000046,2.844292530665579,10.01798382909455,3.9700000000000273,0.9269999999999072
1,35,6,0.142506,NA,Regular Play,Spain Women's,Alba María Redondo Ferrer,Right Wing,Normal,Head,Blocked,NA,NA,NA,NA,NA,NA,NA,108.7,36.6,111.4,38.2,NA,Gaëlle Thalmann,119.1,38.2,11.800423721205945,2.0124611797498106,73.25424946167989,26.56505117707817,46.689198284601716,22.02343034886283,10.522357150372716,1.5400301354433994,0.3019233393195848,2,6,1,1,157.48000000000008,2.06155281280883,2.5961509971494348,65.42000000000007,3.319999999999709
1,35,9,0.749172,NA,Regular Play,Spain Women's,Aitana Bonmati Conca,Right Center Midfield,Normal,Left Foot,Goal,NA,NA,NA,NA,NA,NA,NA,108.7,42.3,120,37.2,1.3,Gaëlle Thalmann,113.9,43.4,11.5316954521007,6.983552104767309,101.50481532625885,119.13429219722619,17.629476870967338,16.548376619916333,5.315072906367328,1.2161297976038505,0.2523772325625349,1,5,1,1,94.85000000000001,1.7888543819998286,3.962322551231782,67.99099999999999,0.7489999999997963
1,37,39,0.937119,TRUE,From Corner,Spain Women's,Irene Paredes Hernandez,Right Center Back,Normal,Head,Off T,TRUE,NA,NA,NA,NA,NA,NA,115.3,36.8,120,56.6,1,Gaëlle Thalmann,119.7,38.9,5.6859475903318035,1.1401754250991385,55.750966993188044,15.255118703057619,40.495848290130425,21.71568848177228,4.875448697299568,2.8196382336706454,1.3736056394868836,0,5,1,1,7.980000000000036,0.7280109889280554,0.9486832980505115,1.900000000000091,0.9369999999998981
1,44,11,0.121881,NA,From Corner,Spain Women's,Laia Codina Panedas,Left Center Back,Normal,Head,Blocked,NA,NA,NA,NA,NA,NA,NA,113.7,37.8,114.2,38,NA,Gaëlle Thalmann,118.9,40.9,6.673080248281146,1.4212670403551841,70.75047412731826,129.28940686250044,58.538932735182186,4.418379244619354,6.053924347066128,3.2998454766641814,1.9689137585983183,3,8,2,1,14.909999999999963,0.7071067811865505,1.8027756377319946,1.9389999999998508,2.3279999999999745
1,44,12,0.358501,NA,From Corner,Spain Women's,Laia Codina Panedas,Left Center Back,Normal,Other,Blocked,NA,NA,NA,NA,NA,NA,NA,112.9,38.8,113.5,39.1,NA,Gaëlle Thalmann,118.8,40.1,7.200694410957871,1.2041594578792325,80.40686573726964,94.76364169072622,14.356775953456577,1.8711813725761817,6.041522986797279,3.4899591512621306,2.9674565550462257,4,7,4,1,5.3599999999999834,0.5830951894845322,1.3928388277184094,2.856999999999971,1.4099999999998545
