"","scoring_play","score_value","shot_x","shot_y","shot_distance","shot_type"
"487",TRUE,2,-4,11,11.7046999107196,"Turnaround Fade Away Jump Shot"
"488",FALSE,0,3,9,9.48683298050514,"Turnaround Jump Shot"
"489",TRUE,2,-1,2,2.23606797749979,"Layup Shot"
"490",TRUE,2,-3,9,9.48683298050514,"Driving Hook Shot"
"491",TRUE,2,1,9,9.05538513813742,"Turnaround Jump Shot"
"492",FALSE,0,-1,2,2.23606797749979,"Running Layup Shot"
"493",FALSE,0,-3,3,4.24264068711928,"Layup Shot"
"494",FALSE,0,-4,10,10.770329614269,"Fade Away Jump Shot"
"495",TRUE,2,2,4,4.47213595499958,"Layup Shot"
"496",TRUE,2,-1,3,3.16227766016838,"Cutting Layup Shot"
"497",FALSE,0,-2,2,2.82842712474619,"Running Layup Shot"
"498",FALSE,0,-6,16,17.0880074906351,"Pullup Jump Shot"
"499",TRUE,2,-3,2,3.60555127546399,"Driving Layup Shot"
"500",FALSE,0,-13,4,13.6014705087354,"Pullup Jump Shot"
"501",TRUE,2,-6,13,14.3178210632764,"Turnaround Jump Shot"
"502",FALSE,0,-7,8,10.6301458127346,"Turnaround Fade Away Jump Shot"
"503",FALSE,0,-5,15,15.8113883008419,"Jump Shot"
"504",TRUE,2,-4,2,4.47213595499958,"Driving Layup Shot"
"505",FALSE,0,-13,15,19.8494332412792,"Pullup Jump Shot"
"506",TRUE,2,3,3,4.24264068711928,"Layup Shot Putback"
"507",FALSE,0,0,7,7,"Turnaround Jump Shot"
"508",FALSE,0,10,23,25.0798724079689,"Jump Shot"
"509",FALSE,0,-4,3,5,"Driving Layup Shot"
"510",FALSE,0,-7,4,8.06225774829855,"Driving Floating Jump Shot"
"511",FALSE,0,-5,3,5.8309518948453,"Floating Jump Shot"
"512",FALSE,0,3,3,4.24264068711928,"Layup Shot"
"513",FALSE,0,-3,3,4.24264068711928,"Driving Layup Shot"
"514",FALSE,0,-10,1,10.0498756211209,"Fade Away Jump Shot"
"515",FALSE,0,3,2,3.60555127546399,"Layup Shot Putback"
"516",FALSE,0,-3,3,4.24264068711928,"Driving Layup Shot"
"517",FALSE,0,-2,3,3.60555127546399,"Cutting Layup Shot"
"518",TRUE,2,1,3,3.16227766016838,"Layup Shot Putback"
"519",TRUE,2,8,3,8.54400374531753,"Turnaround Fade Away Jump Shot"
"520",TRUE,2,3,2,3.60555127546399,"Cutting Layup Shot"
"521",FALSE,0,1,3,3.16227766016838,"Driving Layup Shot"
"522",FALSE,0,3,13,13.3416640641263,"Pullup Jump Shot"
"523",TRUE,2,-2,2,2.82842712474619,"Layup Shot"
"524",TRUE,2,5,13,13.9283882771841,"Turnaround Jump Shot"
"525",FALSE,0,-4,26,26.3058928759318,"Jump Shot"
"526",FALSE,0,0,4,4,"Tip Shot"
"527",TRUE,2,-12,12,16.9705627484771,"Jump Shot"
"528",FALSE,0,3,8,8.54400374531753,"Pullup Jump Shot"
"529",TRUE,2,-1,3,3.16227766016838,"Driving Layup Shot"
"530",FALSE,0,-5,9,10.295630140987,"Jump Shot"
"531",FALSE,0,8,3,8.54400374531753,"Driving Floating Jump Shot"
"532",TRUE,2,1,1,1.4142135623731,"Layup Shot Putback"
"533",FALSE,0,0,12,12,"Step Back Jump Shot"
"534",FALSE,0,-4,11,11.7046999107196,"Turnaround Jump Shot"
"535",FALSE,0,-5,14,14.8660687473185,"Pullup Jump Shot"
"536",TRUE,2,-14,9,16.6433169770932,"Pullup Jump Shot"
"537",TRUE,2,-1,2,2.23606797749979,"Driving Layup Shot"
"538",FALSE,0,-1,11,11.0453610171873,"Turnaround Jump Shot"
"539",TRUE,2,-2,5,5.3851648071345,"Layup Shot"
"540",TRUE,2,-1,8,8.06225774829855,"Driving Floating Jump Shot"
"541",TRUE,2,5,11,12.0830459735946,"Jump Shot"
"542",TRUE,2,5,9,10.295630140987,"Pullup Jump Shot"
"543",TRUE,2,-11,8,13.6014705087354,"Jump Shot"
"544",FALSE,0,1,18,18.0277563773199,"Jump Shot"
