game_id,event_team,shots,avg_dist,avg_angle,goals,is_home,division
2021020058,Chicago Blackhawks,55,30.278378378378378,30.267567567567568,1,1,Central
2021020058,Vancouver Canucks,55,40.417073170731705,26.504878048780487,4,0,Pacific
2021020059,Nashville Predators,51,34.86829268292683,36.56829268292683,1,1,Central
2021020059,New York Rangers,49,29.18888888888889,39.06,3,0,Metropolitan
2021020060,Anaheim Ducks,68,36.942,26.426,1,0,Pacific
2021020060,Winnipeg Jets,50,46.17368421052632,28.102631578947367,5,1,Central
2021020061,Arizona Coyotes,47,42.61351351351351,30.232432432432432,1,1,Central
2021020061,Edmonton Oilers,58,42.35227272727273,29.175,5,0,Pacific
2021020062,Boston Bruins,40,36.92058823529412,34.832352941176474,4,0,Atlantic
2021020062,Buffalo Sabres,68,38.38478260869565,26.480434782608697,1,1,Atlantic
2021020063,San Jose Sharks,51,34.66,29.1125,5,0,Pacific
2021020063,Toronto Maple Leafs,70,27.9,26.40576923076923,3,1,Atlantic
2021020064,Dallas Stars,52,29.229411764705883,38.6764705882353,3,1,Central
2021020064,Los Angeles Kings,78,37.82666666666667,32.77,2,0,Pacific
2021020065,Edmonton Oilers,58,35.95681818181818,39.652272727272724,5,0,Pacific
2021020065,Vegas Golden Knights,72,37.24107142857143,37.05714285714286,3,1,Pacific
2021020066,Detroit Red Wings,52,38.18055555555556,32.9,1,0,Atlantic
2021020066,Montréal Canadiens,67,29.183783783783785,35.65405405405405,6,1,Atlantic
2021020067,New York Rangers,55,36.402702702702705,34.9,3,0,Metropolitan
2021020067,Ottawa Senators,52,36.5,32.98974358974359,2,1,Atlantic
2021020068,Colorado Avalanche,57,27.502222222222223,26.517777777777777,3,0,Central
2021020068,Tampa Bay Lightning,62,34.472727272727276,26.521818181818183,3,1,Atlantic
2021020069,Buffalo Sabres,45,33.63142857142857,29.265714285714285,1,0,Atlantic
2021020069,New Jersey Devils,70,35.363157894736844,24.301754385964912,2,1,Metropolitan
2021020070,Florida Panthers,62,36.374,29.828,4,0,Atlantic
2021020070,Philadelphia Flyers,52,40.565,29.5625,2,1,Metropolitan
2021020071,Pittsburgh Penguins,49,28.297560975609755,24.21707317073171,7,1,Metropolitan
2021020071,Toronto Maple Leafs,60,34.35581395348837,30.995348837209303,1,0,Atlantic
2021020072,Calgary Flames,57,35.45641025641026,33.07435897435897,4,0,Pacific
2021020072,Washington Capitals,59,29.248648648648647,37.64594594594595,3,1,Metropolitan
2021020073,Carolina Hurricanes,53,30.365116279069767,37.448837209302326,5,0,Metropolitan
2021020073,Columbus Blue Jackets,51,42.58717948717949,31.54102564102564,1,1,Metropolitan
2021020074,Los Angeles Kings,55,35.483333333333334,31.2625,3,0,Pacific
2021020074,St. Louis Blues,63,30.708,29.922,7,1,Central
2021020075,Anaheim Ducks,51,42.184375,26.725,3,0,Pacific
2021020075,Minnesota Wild,63,34.48372093023256,24.993023255813952,4,1,Central
2021020076,Nashville Predators,71,34.65714285714286,28.510204081632654,4,0,Central
2021020076,Winnipeg Jets,49,30.021052631578947,23.24473684210526,6,1,Central
2021020077,Arizona Coyotes,54,41.4,26.42105263157895,0,1,Central
2021020077,New York Islanders,48,43.4264705882353,25.055882352941175,3,0,Metropolitan
2021020078,Seattle Kraken,59,35.33725490196078,31.609803921568627,2,1,Pacific
2021020078,Vancouver Canucks,57,43.693023255813955,29.22093023255814,4,0,Pacific
2021020079,Boston Bruins,54,47.45,25.75625,4,1,Atlantic
2021020079,San Jose Sharks,48,40.77647058823529,29.28235294117647,3,0,Pacific
2021020080,Chicago Blackhawks,68,31.291836734693877,28.59387755102041,3,1,Central
2021020080,Detroit Red Wings,50,26.64047619047619,34.733333333333334,6,0,Atlantic
2021020081,Minnesota Wild,62,37.41086956521739,33.56521739130435,2,1,Central
2021020081,Nashville Predators,49,29.511627906976745,27.834883720930232,5,0,Central
2021020082,New York Islanders,49,34.04,36.0375,2,0,Metropolitan
2021020082,Vegas Golden Knights,79,37.58793103448276,32.38793103448276,0,1,Pacific
2021020083,Buffalo Sabres,44,43.361111111111114,28.144444444444442,5,1,Atlantic
2021020083,Tampa Bay Lightning,70,39.56730769230769,27.142307692307693,1,0,Atlantic
2021020084,Ottawa Senators,57,30.344444444444445,28.524444444444445,5,1,Atlantic
2021020084,Washington Capitals,58,33.84390243902439,35.22195121951219,7,0,Metropolitan
2021020085,Arizona Coyotes,36,35.98888888888889,39.870370370370374,3,0,Central
2021020085,Florida Panthers,74,38.10740740740741,27.544444444444444,5,1,Atlantic
2021020086,Calgary Flames,63,36.846666666666664,31.357777777777777,5,0,Pacific
2021020086,New York Rangers,57,33.32439024390244,32.97073170731707,1,1,Metropolitan
2021020087,Carolina Hurricanes,57,38.295833333333334,30.3625,4,1,Metropolitan
2021020087,Toronto Maple Leafs,55,27.07179487179487,36.94871794871795,1,0,Atlantic
2021020088,Columbus Blue Jackets,52,30.338461538461537,32.738461538461536,4,1,Metropolitan
2021020088,Dallas Stars,55,34.969565217391306,39.81521739130435,1,0,Central
2021020089,Los Angeles Kings,50,32.14883720930233,31.844186046511627,0,0,Pacific
2021020089,St. Louis Blues,56,42.395348837209305,30.865116279069767,3,1,Central
2021020090,Calgary Flames,59,40.46190476190476,29.00952380952381,5,0,Pacific
2021020090,New Jersey Devils,53,41.75,28.8975,3,1,Metropolitan
2021020091,Pittsburgh Penguins,55,39.6,23.271428571428572,1,1,Metropolitan
2021020091,Tampa Bay Lightning,49,38.67368421052632,26.371052631578948,5,0,Atlantic
2021020092,Nashville Predators,44,38.12,29.077142857142857,3,1,Central
2021020092,San Jose Sharks,57,36.71951219512195,32.18292682926829,1,0,Pacific
2021020093,Colorado Avalanche,60,37.463157894736845,21.128947368421052,1,1,Central
2021020093,Vegas Golden Knights,55,44.323076923076925,25.16923076923077,3,0,Pacific
2021020094,Minnesota Wild,46,43.93714285714286,26.76,3,0,Central
2021020094,Vancouver Canucks,49,38.9969696969697,28.472727272727273,2,1,Pacific
2021020095,Anaheim Ducks,62,35.61960784313725,26.472549019607843,3,1,Pacific
2021020095,Winnipeg Jets,53,28.335897435897436,29.646153846153844,4,0,Central
2021020096,Montréal Canadiens,36,32.83,33.806666666666665,1,0,Atlantic
2021020096,Seattle Kraken,55,37.04864864864865,20.364864864864863,5,1,Pacific
2021020097,Boston Bruins,58,32.84390243902439,28.934146341463414,1,0,Atlantic
2021020097,Florida Panthers,52,37.04358974358974,27.910256410256412,4,1,Atlantic
2021020098,Detroit Red Wings,47,40.644444444444446,29.833333333333332,3,0,Atlantic
2021020098,Washington Capitals,46,29.0975,32.2925,2,1,Metropolitan
2021020099,Chicago Blackhawks,42,34.16388888888889,24.03333333333333,2,1,Central
2021020099,Toronto Maple Leafs,77,40.068518518518516,28.112962962962964,3,0,Atlantic
2021020100,Dallas Stars,69,31.255102040816325,26.755102040816325,2,1,Central
2021020100,Vegas Golden Knights,57,40.56896551724138,26.75862068965517,3,0,Pacific
2021020101,Edmonton Oilers,75,33.26938775510204,29.869387755102043,3,1,Pacific
2021020101,Philadelphia Flyers,50,40.16511627906977,27.39767441860465,5,0,Metropolitan
2021020102,Arizona Coyotes,48,40.03658536585366,31.346341463414635,1,0,Central
2021020102,Tampa Bay Lightning,47,33.48918918918919,30.775675675675675,5,1,Atlantic
2021020103,Calgary Flames,58,38.31304347826087,27.858695652173914,4,0,Pacific
2021020103,Pittsburgh Penguins,77,36.88709677419355,26.114516129032257,0,1,Metropolitan
2021020104,Boston Bruins,60,35.936734693877554,31.383673469387755,0,0,Atlantic
2021020104,Carolina Hurricanes,52,36.33720930232558,31.12093023255814,3,1,Metropolitan
2021020105,Colorado Avalanche,71,33.494,28.478,4,0,Central
2021020105,St. Louis Blues,38,40.9375,29.5,3,1,Central
2021020106,Philadelphia Flyers,53,35.05384615384615,31.405128205128204,2,0,Metropolitan
2021020106,Vancouver Canucks,45,33.93421052631579,24.513157894736842,1,1,Pacific
2021020107,Anaheim Ducks,56,31.58936170212766,29.52340425531915,3,1,Pacific
2021020107,Buffalo Sabres,53,27.273809523809526,42.054761904761904,4,0,Atlantic
2021020108,Los Angeles Kings,50,33.5578947368421,32.97105263157895,2,1,Pacific
2021020108,Winnipeg Jets,56,33.55777777777778,33.54666666666667,3,0,Central
2021020109,Montréal Canadiens,48,43.05833333333334,31.391666666666666,4,0,Atlantic
2021020109,San Jose Sharks,74,41.77142857142857,21.260714285714286,0,1,Pacific
2021020110,Minnesota Wild,48,40.09473684210526,30.652631578947368,1,0,Central
2021020110,Seattle Kraken,59,40.479166666666664,29.175,4,1,Pacific
2021020111,Detroit Red Wings,50,29.434146341463414,28.873170731707315,2,1,Atlantic
