is_hr,launch_angle,launch_speed,bat_speed,swing_length,attack_angle,swing_path_tilt,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
1,32,95.3,67.5,7.9,16.876222405982702,16.1017622780269,-0.24,3,7,0,1,1,0
0,-21,86.2,73.5,6.8,17.665002328307548,37.214891040902685,0.6,2.22,7,1,2,1,0
0,27,94.3,66.7,7.1,13.665164591014136,25.81313295592432,-0.87,2.68,7,3,2,1,0
0,3,98.6,78.4,7.8,11.7111175329315,37.10692368568289,-0.26,2.3,7,3,1,0,1
0,39,92.4,70.7,7.1,14.973531752731867,31.93896799795577,-0.24,2.6,6,2,2,1,0
0,39,99.2,74.3,6.5,11.38055030039998,34.28430694088722,0.14,2.63,6,0,0,1,0
0,-30,71.8,74.2,7.8,18.172220215286934,24.12992235511779,0.45,2.95,6,1,0,0,0
0,-1,84.6,58.4,5.4,-4.1766971445436765,21.46793895358093,-0.42,3.77,6,2,2,1,0
0,65,77.6,69.6,7.3,15.258572943793627,25.6819390265536,1.14,2.66,6,2,2,0,0
0,52,89.2,80.5,8.3,23.709628355430738,33.39332697403474,0.05,2.1,6,1,0,0,0
0,46,96.3,74.7,7.6,9.564251932013278,38.0284380283,-0.15,1.91,5,1,1,1,0
0,68,86.2,75.7,7.3,15.085800795272752,29.59751060490238,-0.57,2.64,5,0,0,1,0
0,36,68.7,59.3,6.7,13.910449141705692,29.897583362878496,0.53,2.59,5,2,2,1,0
0,12,90.6,71.2,7.7,27.49822905675606,29.968678354913447,-0.53,3.06,5,1,1,1,0
1,34,92.1,68.2,6.2,2.6408032063453617,29.62423464732549,0.52,3.01,5,0,2,1,0
0,21,101.4,70.9,7.5,16.423782062093636,32.59000089570748,-0.37,2.82,5,2,1,0,0
0,10,95.2,71.5,6.3,-11.233392547414756,45.58572187142535,-0.6,2.15,5,2,1,1,0
0,29,61.2,64.1,5.9,3.292670732196568,36.95877857121753,-0.05,3.27,5,2,2,1,0
0,34,84.8,69.5,6.8,10.232222911734985,28.48927039653405,-0.72,2.86,4,1,0,1,0
0,20,86.7,65.2,6.9,9.340084118036875,34.256192795597286,-1.03,1.88,4,0,1,1,0
0,20,96.3,74.4,7.4,11.877399175779711,32.57805388373564,-0.91,2.42,4,0,0,1,0
0,9,106.8,72.1,7.5,-1.141600384433063,27.54312889208483,0.46,2.2,4,0,2,0,0
0,36,93.8,70.9,7.3,11.080952697799692,48.50822693033137,0.64,1.72,4,3,2,1,0
1,22,111.4,79.9,7.6,7.540307260443841,30.49527027702945,0.2,2.6,4,0,0,0,0
0,23,96.8,68.8,7.3,9.298518526097524,36.07815864193955,-0.31,2.51,4,1,0,0,0
0,26,85,72.3,7.1,12.661946520689249,37.98641767493599,-0.84,2.74,4,1,0,0,0
0,26,82.6,69.9,7.3,8.42129919481842,30.59883217980623,0.08,2.27,3,2,1,1,0
0,66,86.3,71.8,7.9,22.70792985321611,30.29416797121118,-0.47,2.51,3,2,1,1,0
0,23,97.5,69.4,7,20.181013426501885,30.311265239528268,-0.12,2.38,3,0,0,1,0
0,-27,92.6,76.8,7.2,13.031972761474288,35.21527079599208,-0.8,2.14,3,1,1,1,0
0,-18,87.1,73.9,7.2,6.158482581667848,39.714908967212686,-0.76,2.32,3,2,2,0,0
1,30,104.2,71.9,7.9,11.573923951010656,33.9030616833296,0.36,2.03,3,3,2,0,0
1,23,110.6,75.7,7.6,15.473351000173128,44.49244371574918,0.22,2.16,3,1,1,1,0
0,1,85.3,71.5,6.6,-6.637893284748946,45.47409783475992,-0.18,1.96,3,1,1,1,0
0,58,88.6,70.1,7.1,13.980572698347853,32.2196934310645,0.68,2.41,3,0,0,0,0
0,-37,91.8,76.8,7.3,0.7331749490504477,31.86100400852809,-0.2,2.22,2,2,2,0,0
0,30,83.2,75.6,7.8,9.828232378311634,43.58619673321494,-0.29,0.85,2,0,1,1,0
0,26,76.2,71.1,6.6,-2.44859555468803,39.87962209456083,-0.4,2.68,2,1,1,0,0
0,0,76.7,76.9,7.9,8.130550231451691,31.94061408504844,0.69,2.27,2,2,2,0,0
0,-25,65.9,73.1,8.2,23.949192487295957,20.837509067585916,-1.25,2.48,1,1,0,1,0
0,0,90.9,64.1,6.3,-18.21201401347984,50.10753281583463,-0.31,1.22,1,0,2,1,0
0,30,96.2,70.2,7.6,16.38326833984571,25.03869333100556,0.4,2.64,1,2,2,0,0
0,21,98.4,65.8,6,6.815687054324831,31.53674506883291,-0.32,2.7,1,0,2,0,0
0,31,80.9,74.7,8.1,21.125076718403847,33.229844462355864,-0.06,2.52,9,0,0,1,1
